timestamps,ax,ay,az
1525745830438274.0,2.5601188809473103e-05,1.944995668783209e-05,8.740861878751233e-05
1525745830443711.0,2.4555429383640315e-05,1.647676982845209e-05,8.495931801443262e-05
1525745830449067.0,2.359150009149114e-05,1.3612269465479855e-05,8.255294687129909e-05
1525745830454375.0,2.2695248286067123e-05,1.0834266349193148e-05,8.015805583224702e-05
1525745830459647.0,2.1867665099288648e-05,8.138614481630647e-06,7.778896027759166e-05
1525745830465121.0,2.1069973883763317e-05,5.406194421660102e-06,7.53274813496534e-05
1525745830470559.0,2.034282173437023e-05,2.760987942936133e-06,7.289640161867328e-05
1525745830476030.0,1.9672175491237404e-05,1.6955867391071976e-07,7.045277689544737e-05
1525745830481429.0,1.9073629160923696e-05,-2.317985804076262e-06,6.806106132422498e-05
1525745830486797.0,1.8535476053030087e-05,-4.721654670228187e-06,6.568873769856507e-05
1525745830492275.0,1.8048712461579713e-05,-7.102969248984977e-06,6.329236833435019e-05
1525745830497638.0,1.762720601762529e-05,-9.362782242709426e-06,6.095591710219709e-05
1525745830502943.0,1.7265561057733315e-05,-1.1529124099654517e-05,5.8665898361387845e-05
1525745830508267.0,1.695663172370008e-05,-1.3633058386869273e-05,5.638832851200966e-05
1525745830513767.0,1.6692541042085905e-05,-1.573256450782348e-05,5.405786882498722e-05
1525745830519334.0,1.6479880969489032e-05,-1.7781356281228093e-05,5.172242472460185e-05
1525745830524700.0,1.6326184043560244e-05,-1.9683059437385844e-05,4.9495955600551244e-05
1525745830530061.0,1.6221325014303075e-05,-2.1512905162120225e-05,4.7297879059977043e-05
1525745830535468.0,1.6160089994131167e-05,-2.328367043598742e-05,4.50997290777769e-05
1525745830540822.0,1.6145994897441126e-05,-2.4968881239279773e-05,4.29541404913442e-05
1525745830546398.0,1.617415767278458e-05,-2.664623211527662e-05,4.0741419958528044e-05
1525745830551808.0,1.624528090219812e-05,-2.820361150097879e-05,3.862596253109261e-05
1525745830557211.0,1.6353577332540052e-05,-2.9684617085996853e-05,3.6535512763593116e-05
1525745830562616.0,1.6500453303802695e-05,-3.10982038057457e-05,3.4474425966811536e-05
1525745830567990.0,1.6679765002309276e-05,-3.2431546445967504e-05,3.2448825425848e-05
1525745830573349.0,1.6892335780010462e-05,-3.369546413364203e-05,3.0458098367346067e-05
1525745830578720.0,1.71338389062203e-05,-3.4890546697911706e-05,2.8485941149266646e-05
1525745830584168.0,1.7409478182704837e-05,-3.60374550961655e-05,2.6515463143829643e-05
1525745830589564.0,1.7707046777284488e-05,-3.710197519442989e-05,2.458732378093203e-05
1525745830595006.0,1.8031831120078562e-05,-3.810842065149641e-05,2.266972166850525e-05
1525745830600476.0,1.8381312939595196e-05,-3.9053578449955856e-05,2.0769371659217613e-05
1525745830605955.0,1.875110055467183e-05,-3.993195037674587e-05,1.8891484004413665e-05
1525745830611407.0,1.913738853613565e-05,-4.074113678461459e-05,1.704888695654776e-05
1525745830616826.0,1.9536542634965137e-05,-4.14806994865442e-05,1.5242118395574583e-05
1525745830622393.0,1.9962401402547336e-05,-4.2178330941921824e-05,1.3412958604647971e-05
1525745830627937.0,2.0395082113732786e-05,-4.2801428131341115e-05,1.1614511239404556e-05
1525745830633330.0,2.0828545446881243e-05,-4.335382753400598e-05,9.890737258007531e-06
1525745830638949.0,2.1284180611088187e-05,-4.3858570298902116e-05,8.11784970012901e-06
1525745830644404.0,2.173544494714051e-05,-4.429574410828685e-05,6.4217781874916305e-06
1525745830649815.0,2.2182756189371254e-05,-4.4664269049211686e-05,4.761186170953266e-06
1525745830655295.0,2.2639290145900447e-05,-4.498480807795916e-05,3.1026772961766133e-06
1525745830660697.0,2.3088621270986506e-05,-4.5244934334624314e-05,1.4898715954654725e-06
1525745830666098.0,2.3536446406958223e-05,-4.54529509668472e-05,-1.0095083097830612e-07
1525745830671579.0,2.3986293358541303e-05,-4.56093307158511e-05,-1.6935424128934157e-06
1525745830676749.0,2.4406793442621565e-05,-4.571088888710414e-05,-3.175765602648937e-06
1525745830682133.0,2.483773003021803e-05,-4.576792930945979e-05,-4.699138089694365e-06
1525745830687540.0,2.5260653110910306e-05,-4.577410706939271e-05,-6.207897017188003e-06
1525745830692992.0,2.5679552055060532e-05,-4.5736889814385284e-05,-7.708941016647588e-06
1525745830698638.0,2.609935403846462e-05,-4.5645741216827764e-05,-9.24083661718744e-06
1525745830704119.0,2.649602410314503e-05,-4.5514884326200346e-05,-1.0707605264764477e-05
1525745830709570.0,2.687436571506815e-05,-4.53375357090247e-05,-1.2144949545036837e-05
1525745830715094.0,2.7244698690236884e-05,-4.51191555419517e-05,-1.3581944686745414e-05
1525745830720612.0,2.759514390617098e-05,-4.4855162382029315e-05,-1.4995412196547443e-05
1525745830726094.0,2.7928277341584795e-05,-4.4558003511011085e-05,-1.6380845786050492e-05
1525745830731657.0,2.8244067795063043e-05,-4.421310359924847e-05,-1.776447592026856e-05
1525745830737703.0,2.8566566647917154e-05,-4.380020276589311e-05,-1.9246534205462382e-05
1525745830743277.0,2.8839196071955858e-05,-4.337926718229787e-05,-2.0590227300818783e-05
1525745830748776.0,2.9087966133205086e-05,-4.293395423685421e-05,-2.1897456115351144e-05
1525745830754223.0,2.9310688745833372e-05,-4.246042743848625e-05,-2.3172415047698932e-05
1525745830759716.0,2.9509993023674152e-05,-4.195114301823283e-05,-2.443762612882501e-05
1525745830765437.0,2.9694028431821016e-05,-4.1394667642750666e-05,-2.573732572523689e-05
1525745830771332.0,2.9851901507771004e-05,-4.0787273938702926e-05,-2.705266562682704e-05
1525745830776820.0,2.997454003651416e-05,-4.0200013571368884e-05,-2.8260557531992582e-05
1525745830783257.0,3.0081143571172328e-05,-3.947745173685006e-05,-2.9651031346109158e-05
1525745830788780.0,3.0143310478044413e-05,-3.88355067554245e-05,-3.082543335144475e-05
1525745830794649.0,3.017803154081053e-05,-3.813131069336196e-05,-3.20538219643773e-05
1525745830800280.0,3.0180314308491976e-05,-3.743584864676273e-05,-3.321364544253955e-05
1525745830806178.0,3.0150412351963828e-05,-3.668951824703022e-05,-3.441027399705747e-05
1525745830811992.0,3.008668629193592e-05,-3.593560072545081e-05,-3.557023025711815e-05
1525745830817720.0,2.999352968506073e-05,-3.518067808145644e-05,-3.6698348600683645e-05
1525745830823390.0,2.9866004784761652e-05,-3.4416773183997e-05,-3.779477549010967e-05
1525745830828961.0,2.9712487380601615e-05,-3.3658747743944855e-05,-3.886060216906288e-05
1525745830834111.0,2.9540208407782343e-05,-3.29462975676072e-05,-3.9829260747620545e-05
1525745830839975.0,2.9314506488551364e-05,-3.21299756064127e-05,-4.092179539263733e-05
1525745830846399.0,2.9026415209416335e-05,-3.122516939053915e-05,-4.209979647577454e-05
1525745830851168.0,2.8783776307113464e-05,-3.0546473601388537e-05,-4.296047608817982e-05
1525745830857741.0,2.841702417196236e-05,-2.9610110994076427e-05,-4.413894181094537e-05
